lemma,log_ratio,g_squared,p_value,p_value_fdr,register,relative_frequency
ἀπαμείβομαι,-3.8027432620180486,-164.4147639293222,1.227876954213459e-37,3.44337627193261e-34,Narrative,0.0011730370398175692
ὀχθέω,-3.482271366743277,-42.98932869092692,5.5039262359375194e-11,6.710801655498891e-09,Narrative,0.0002721445932376761
δουπέω,-3.299949809949322,-35.57737546835331,2.451179605649026e-09,2.188821585085373e-07,Narrative,0.0002252231116449733
αὔω,-3.259127815429067,-61.24554222364604,5.038250745738985e-15,1.0868411159974893e-12,Narrative,0.0004504462232899466
κινέω,-3.216568201010271,-32.61259417932386,1.1248350495699536e-08,8.844146983207495e-07,Narrative,0.0002064545190078922
πρόσφημι,-3.2034389095684785,-270.29839583649294,9.769566913075313e-61,8.219136643970261e-57,Narrative,0.00220530963485703
ὑφορβός,-3.172116438439437,-31.130203534809137,2.4128759302218914e-08,1.7058424538619136e-06,Narrative,0.00019707022268935164
πολύτλας,-3.1255964228045445,-52.62128237692003,4.044822512621326e-13,6.505689904447642e-11,Narrative,0.0003941404453787033
προσφωνέω,-3.0768062586351124,-49.75529162293781,1.7416781665161265e-12,2.526334209465547e-10,Narrative,0.00037537185274162216
ἐρείπω,-2.971445742977286,-44.039277711300436,3.218521168817508e-11,4.088605134648383e-09,Narrative,0.00033783466746745996
σκότος,-2.9142873291373377,-23.71825031223554,1.1151997723728552e-06,5.5189268735134294e-05,Narrative,0.00015014874109664888
αἰχμή,-2.8844343659876563,-39.76870376473205,2.858896282453188e-10,3.006486803034834e-08,Narrative,0.0003096817785118383
μειδάω,-2.8536627073209027,-22.235859667720813,2.411280130024507e-06,0.00010790478581859669,Narrative,0.00014076444477810832
ἀγχίμολος,-2.8536627073209027,-22.235859667720813,2.411280130024507e-06,0.00010790478581859669,Narrative,0.00014076444477810832
Εὐπείθης,-2.7891241861833316,-20.753469023206097,5.22368663857244e-06,0.00020827903170763003,Narrative,0.00013138014845956775
πρόκειμαι,-2.7891241861833316,-20.753469023206097,5.22368663857244e-06,0.00020827903170763003,Narrative,0.00013138014845956775
μέλινος,-2.7891241861833316,-20.753469023206097,5.22368663857244e-06,0.00020827903170763003,Narrative,0.00013138014845956775
Ὀιλεύς,-2.7891241861833316,-20.753469023206097,5.22368663857244e-06,0.00020827903170763003,Narrative,0.00013138014845956775
Ἀγήνωρ,-2.72013131469638,-19.27107837869137,1.1341133011471827e-05,0.0003816518081020499,Narrative,0.0001219958521410272
Κεβριόνης,-2.72013131469638,-19.27107837869137,1.1341133011471827e-05,0.0003816518081020499,Narrative,0.0001219958521410272
